Altitude,Latitude,Longitude,ICSEV,SLD,ICPRB
11000,41.0469,-75.5288,2,-0.09,0.46
11000,41.0301,-75.3755,2,-0.09,0.44
11000,41.0132,-75.2223,2,-0.09,0.17
11000,40.9961,-75.0691,2,-0.09,0.15
11000,40.9789,-74.916,2,-0.09,0.11
11000,40.9616,-74.7629,2,-0.09,0.09
11000,40.9442,-74.6098,2,-0.09,0.08
11000,40.9266,-74.4568,2,-0.09,0.25
11000,40.9089,-74.3039,2,-0.09,0.28
11000,40.891,-74.151,2,-0.09,0.3
11000,40.8731,-73.9982,2,-0.09,0.29
11000,40.8549,-73.8454,2,-0.09,0.26
11000,40.8367,-73.6927,2,-0.09,0.07
11000,40.8183,-73.5401,2,-0.09,0.06
11000,40.7998,-73.3875,1,-0.09,0.06
11000,40.7812,-73.2349,1,-0.09,0.07
11000,40.7624,-73.0824,1,-0.09,0.1
11000,40.7435,-72.93,1,-0.09,0.13
11000,40.7245,-72.7776,1,-0.09,0.16
11000,40.7053,-72.6253,2,-0.09,0.21
11000,40.686,-72.473,1,-0.09,0.3
11000,40.6666,-72.3208,1,-0.09,0.34
11000,40.647,-72.1686,2,-0.09,0.37
11000,40.6274,-72.0165,2,-0.09,0.54
11000,41.2121,-75.9673,5,-0.09,0.62
11000,41.1957,-75.8137,5,-0.09,0.59
11000,41.1791,-75.6601,2,-0.09,0.46
11000,41.1625,-75.5066,2,-0.09,0.44
11000,41.1457,-75.3532,2,-0.09,0.45
11000,41.1287,-75.1997,2,-0.09,0.2
11000,41.1117,-75.0464,2,-0.09,0.17
11000,41.0945,-74.8931,2,-0.09,0.14
11000,41.0772,-74.7398,2,-0.09,0.11
11000,41.0597,-74.5866,2,-0.09,0.1
11000,41.0421,-74.4335,2,-0.09,0.09
11000,41.0244,-74.2804,2,-0.09,0.27
11000,41.0065,-74.1273,2,-0.09,0.29
11000,40.9886,-73.9743,2,-0.09,0.28
11000,40.9704,-73.8214,2,-0.09,0.08
11000,40.9522,-73.6685,2,-0.09,0.06
11000,40.9338,-73.5157,2,-0.09,0.05
11000,40.9153,-73.3629,2,-0.09,0.06
11000,40.8966,-73.2102,1,-0.09,0.07
11000,40.8779,-73.0575,1,-0.09,0.08
11000,40.859,-72.9049,1,-0.09,0.1
11000,40.8399,-72.7524,1,-0.09,0.15
11000,40.8207,-72.5999,1,-0.09,0.19
11000,40.8014,-72.4474,1,-0.09,0.25
11000,40.782,-72.295,2,-0.09,0.3
11000,40.7624,-72.1427,2,-0.09,0.31
11000,40.7427,-71.9905,2,-0.09,0.52
11000,41.3276,-75.9456,5,-0.09,0.62
11000,41.3112,-75.7918,5,-0.09,0.59
11000,41.2947,-75.6381,2,-0.09,0.45
11000,41.278,-75.4844,2,-0.09,0.29
11000,41.2612,-75.3307,2,-0.09,0.17
11000,41.2442,-75.1772,2,-0.09,0.17
11000,41.2272,-75.0236,2,-0.09,0.17
11000,41.21,-74.8701,2,-0.09,0.16
11000,41.1926,-74.7167,2,-0.09,0.26
11000,41.1752,-74.5633,2,-0.09,0.29
11000,41.1576,-74.41,2,-0.09,0.28
11000,41.1398,-74.2568,2,-0.09,0.29
11000,41.122,-74.1035,2,-0.09,0.29
11000,41.104,-73.9504,2,-0.09,0.29
11000,41.0859,-73.7973,2,-0.09,0.27
11000,41.0676,-73.6442,2,-0.09,0.07
11000,41.0492,-73.4912,2,-0.09,0.06
11000,41.0307,-73.3383,2,-0.09,0.06
11000,41.012,-73.1854,1,-0.09,0.06
11000,40.9932,-73.0326,2,-0.09,0.07
11000,40.9743,-72.8798,1,-0.09,0.09
11000,40.9553,-72.7271,2,-0.09,0.12
11000,40.9361,-72.5744,2,-0.09,0.15
11000,40.9168,-72.4218,2,-0.09,0.17
11000,40.8973,-72.2693,2,-0.09,0.17
11000,40.8777,-72.1168,2,-0.09,0.18
11000,41.4431,-75.9238,5,-0.09,0.57
11000,41.4267,-75.7698,5,-0.09,0.57
11000,41.4101,-75.6159,2,-0.09,0.19
11000,41.3934,-75.4621,2,-0.09,0.16
11000,41.3766,-75.3083,2,-0.09,0.44
11000,41.3597,-75.1545,2,-0.09,0.45
11000,41.3426,-75.0008,2,-0.09,0.44
11000,41.3254,-74.8472,2,-0.09,0.15
11000,41.308,-74.6936,2,-0.09,0.28
11000,41.2906,-74.54,2,-0.09,0.28
11000,41.273,-74.3865,2,-0.09,0.28
11000,41.2552,-74.2331,2,-0.09,0.31
11000,41.2373,-74.0797,2,-0.09,0.31
11000,41.2193,-73.9264,2,-0.09,0.31
11000,41.2012,-73.7731,2,-0.09,0.29
11000,41.1829,-73.6199,2,-0.09,0.26
11000,41.1645,-73.4667,2,-0.09,0.07
11000,41.146,-73.3136,2,-0.09,0.07
11000,41.1273,-73.1606,2,-0.09,0.07
11000,41.1085,-73.0076,2,-0.09,0.08
11000,41.0896,-72.8546,2,-0.09,0.09
11000,41.0705,-72.7017,2,-0.09,0.11
11000,41.0514,-72.5489,2,-0.09,0.13
11000,41.032,-72.3961,2,-0.09,0.14
11000,41.0126,-72.2434,2,-0.09,0.15
11000,40.993,-72.0908,2,-0.09,0.16
11000,41.5585,-75.9019,5,-0.09,0.55
11000,41.542,-75.7478,2,-0.09,0.52
11000,41.5255,-75.5937,2,-0.09,0.16
11000,41.5088,-75.4397,2,-0.09,0.16
11000,41.492,-75.2857,2,-0.09,0.47
11000,41.475,-75.1318,2,-0.09,0.5
11000,41.4579,-74.978,2,-0.09,0.46
11000,41.4407,-74.8241,2,-0.09,0.43
11000,41.4234,-74.6704,2,-0.09,0.28
11000,41.4059,-74.5167,2,-0.09,0.29
11000,41.3883,-74.363,2,-0.09,0.34
11000,41.3705,-74.2094,2,-0.09,0.37
11000,41.3526,-74.0558,2,-0.09,0.34
11000,41.3346,-73.9023,2,-0.09,0.38
11000,41.3165,-73.7489,2,-0.09,0.35
11000,41.2982,-73.5955,2,-0.09,0.3
11000,41.2798,-73.4422,2,-0.09,0.27
